,sample_id_fastq,sample_id,Genus,Species,Gut_length,Relative_gut_length,Diet_category,Color
F-F084-B,F-F084-B,F_F084,Diplodus,Diplodus_sargus,251.174,1.256,Hunting_macrofauna,#00BFFF
F-F104-B,F-F104-B,F_F104,Sarpa,Sarpa_salpa,705.668,2.990,Grazing_aquatic_plants,#228B22
F-F116-B,F-F116-B,F_F116,Sarpa,Sarpa_salpa,554.233,2.730,Grazing_aquatic_plants,#228B22
F-F121-B,F-F121-B,F_F121,Sarpa,Sarpa_salpa,474.020,1.927,Grazing_aquatic_plants,#228B22
F-F200-B,F-F200-B,F_F200,Pagellus,Pagellus_erythrinus,106.985,0.637,Hunting_macrofauna,#8B1A1A
F-F201-B,F-F201-B,F_F201,Pagellus,Pagellus_erythrinus,138.456,0.748,Hunting_macrofauna,#8B1A1A
F-F202-B,F-F202-B,F_F202,Pagellus,Pagellus_erythrinus,102.991,0.594,Hunting_macrofauna,#8B1A1A
F-F207-B,F-F207-B,F_F207,Pagrus,Pagrus_pagrus,179.790,0.877,Hunting_macrofauna,#EE1289
F-F214-B,F-F214-B,F_F214,Diplodus,Diplodus_sargus,140.948,0.829,Hunting_macrofauna,#00BFFF
F-F215-B,F-F215-B,F_F215,Pagrus,Pagrus_pagrus,179.790,0.877,Hunting_macrofauna,#EE1289
F-F216-B,F-F216-B,F_F216,Sparus,Sparus_aurata,125.128,0.569,Hunting_macrofauna,#FFD700
F-F218-B,F-F218-B,F_F218,Diplodus,Diplodus_puntazzo,194.371,0.817,Hunting_macrofauna,#00CED1
F-F219-B,F-F219-B,F_F219,Diplodus,Diplodus_vulgaris,197.133,1.043,Hunting_macrofauna,#104E8B
F-F232-B,F-F232-B,F_F232,Sparus,Sparus_aurata,138.257,0.649,Hunting_macrofauna,#FFD700
F-F234-B,F-F234-B,F_F234,Diplodus,Diplodus_vulgaris,227.148,1.305,Hunting_macrofauna,#104E8B
F-F238-B,F-F238-B,F_F238,Pagellus,Pagellus_erythrinus,63.531,0.397,Hunting_macrofauna,#8B1A1A
F-F252-B,F-F252-B,F_F252,Sarpa,Sarpa_salpa,439.975,1.555,Grazing_aquatic_plants,#228B22
F-F256-B,F-F256-B,F_F256,Sarpa,Sarpa_salpa,782.620,3.118,Grazing_aquatic_plants,#228B22
F-F264-B,F-F264-B,F_F264,Diplodus,Diplodus_annularis,165.918,1.019,Hunting_macrofauna,#97FFFF
F-F266-B,F-F266-B,F_F266,Diplodus,Diplodus_vulgaris,178.412,0.892,Hunting_macrofauna,#104E8B
F-F267-B,F-F267-B,F_F267,Diplodus,Diplodus_annularis,176.369,1.102,Hunting_macrofauna,#97FFFF
F-F268-B,F-F268-B,F_F268,Boops,Boops_boops,328.652,2.143,Selective_plankton_feeding,#EE7600
F-F272-B,F-F272-B,F_F272,Boops,Boops_boops,341.904,2.442,Selective_plankton_feeding,#EE7600
F-F275-B,F-F275-B,F_F275,Boops,Boops_boops,315.399,1.844,Selective_plankton_feeding,#EE7600
F-F283-B,F-F283-B,F_F283,Diplodus,Diplodus_vulgaris,237.510,1.237,Hunting_macrofauna,#104E8B
F-F291-B,F-F291-B,F_F291,Diplodus,Diplodus_vulgaris,157.310,0.742,Hunting_macrofauna,#104E8B
F-F293-B,F-F293-B,F_F293,Diplodus,Diplodus_vulgaris,198.331,0.982,Hunting_macrofauna,#104E8B
F-F298-B,F-F298-B,F_F298,Diplodus,Diplodus_puntazzo,281.457,1.474,Hunting_macrofauna,#00CED1
F-F309-B,F-F309-B,F_F309,Sparus,Sparus_aurata,194.117,1.206,Hunting_macrofauna,#FFD700
F-F310-B,F-F310-B,F_F310,Diplodus,Diplodus_vulgaris,205.291,1.116,Hunting_macrofauna,#104E8B
F-F311-B,F-F311-B,F_F311,Diplodus,Diplodus_vulgaris,175.930,1.029,Hunting_macrofauna,#104E8B
F-F313-B,F-F313-B,F_F313,Sparus,Sparus_aurata,200.741,0.904,Hunting_macrofauna,#FFD700
F-F315-B,F-F315-B,F_F315,Sparus,Sparus_aurata,140.099,0.718,Hunting_macrofauna,#FFD700
F-F316-B,F-F316-B,F_F316,Lithognathus,Lithognathus_mormyrus,120.082,0.538,Hunting_macrofauna,#7F7F7F
F-F318-B,F-F318-B,F_F318,Lithognathus,Lithognathus_mormyrus,183.050,0.776,Hunting_macrofauna,#7F7F7F
F-F319-B,F-F319-B,F_F319,Diplodus,Diplodus_annularis,155.467,0.937,Hunting_macrofauna,#97FFFF
F-F323-B,F-F323-B,F_F323,Lithognathus,Lithognathus_mormyrus,142.537,0.615,Hunting_macrofauna,#7F7F7F
F-F324-B,F-F324-B,F_F324,Oblada,Oblada_melanura,243.268,1.031,Hunting_macrofauna,#000000
F-F325-B,F-F325-B,F_F325,Pagellus,Pagellus_acarne,110.023,0.629,Hunting_macrofauna,#FF3030
F-F468-B,F-F468-B,F_F468,Lithognathus,Lithognathus_mormyrus,124.479,0.530,Hunting_macrofauna,#7F7F7F
F-F475-B,F-F475-B,F_F475,Pagellus,Pagellus_acarne,110.023,0.629,Hunting_macrofauna,#FF3030
F-F476-B,F-F476-B,F_F476,Pagellus,Pagellus_acarne,110.023,0.629,Hunting_macrofauna,#FF3030
F-F487-B,F-F487-B,F_F487,Pagellus,Pagellus_acarne,110.023,0.629,Hunting_macrofauna,#FF3030
F-F519-B,F-F519-B,F_F519,Diplodus,Diplodus_sargus,196.061,1.042,Hunting_macrofauna,#00BFFF
F-F520-B,F-F520-B,F_F520,Oblada,Oblada_melanura,329.058,1.531,Hunting_macrofauna,#000000
F-F521-B,F-F521-B,F_F521,Pagrus,Pagrus_pagrus,179.790,0.877,Hunting_macrofauna,#EE1289
F-F522-B,F-F522-B,F_F522,Oblada,Oblada_melanura,286.163,1.281,Hunting_macrofauna,#000000
F-F523-B,F-F523-B,F_F523,Pagrus,Pagrus_pagrus,179.790,0.877,Hunting_macrofauna,#EE1289
